Total Run Time,600.031,Early Exit, false,,,,,
Number of Particles of Type 1,300,,,,,,,
Number of Particles of Type 2,0,,,,,,,
Number of Particles of Type 3,0,,,,,,,
Number of Particles of Type 4,0,,,,,,,
Number of Updates,,TotalTime,,,,Frame,Frame Time A,Frame Time B
2,,43.25,,,,647,0,0.078
2,,43.313,,,,648,0.015,0.063
2,,43.375,,,,649,0,0.062
2,,43.438,,,,650,0,0.063
2,,43.5,,,,651,0,0.062
1,,43.563,,,,652,0.016,0.063
1,,43.594,,,,653,0.031,0.031
2,,43.641,,,,654,0,0.047
2,,43.703,,,,655,0,0.062
1,,43.766,,,,656,0,0.063
1,,43.797,,,,657,0.016,0.031
2,,43.844,,,,658,0,0.047
2,,43.906,,,,659,0,0.062
2,,43.969,,,,660,0,0.063
2,,44.047,,,,661,0,0.078
2,,44.109,,,,662,0.015,0.062
2,,44.172,,,,663,0,0.063
2,,44.25,,,,664,0,0.078
2,,44.313,,,,665,0,0.063
2,,44.391,,,,666,0.016,0.078
2,,44.453,,,,667,0,0.062
2,,44.516,,,,668,0,0.063
2,,44.578,,,,669,0,0.062
2,,44.641,,,,670,0,0.063
2,,44.719,,,,671,0.016,0.078
2,,44.781,,,,672,0,0.062
2,,44.844,,,,673,0,0.063
2,,44.906,,,,674,0,0.062
2,,44.969,,,,675,0.015,0.063
2,,45.047,,,,676,0.032,0.078
2,,45.109,,,,677,0,0.062
2,,45.172,,,,678,0,0.063
2,,45.234,,,,679,0,0.062
1,,45.297,,,,680,0.015,0.063
1,,45.328,,,,681,0,0.031
2,,45.375,,,,682,0,0.047
2,,45.438,,,,683,0,0.063
2,,45.5,,,,684,0.016,0.062
1,,45.563,,,,685,0,0.063
1,,45.594,,,,686,0,0.031
1,,45.625,,,,687,0,0.031
1,,45.656,,,,688,0,0.031
2,,45.703,,,,689,0.015,0.047
1,,45.766,,,,690,0,0.063
1,,45.797,,,,691,0,0.031
1,,45.828,,,,692,0,0.031
1,,45.859,,,,693,0.016,0.031
2,,45.906,,,,694,0.031,0.047
2,,45.969,,,,695,0,0.063
1,,46.031,,,,696,0,0.062
1,,46.063,,,,697,0,0.032
1,,46.094,,,,698,0.016,0.031
2,,46.141,,,,699,0,0.047
2,,46.203,,,,700,0,0.062
